Time,Temp,Hum,Wind,Pres,Prec,Previous Temp,Previous Hum,Previous Wind,Previous PM2.5,Previous PM10,Previous SO2,Previous CO,Previous NO2,Previous O3_8h,Previous AQI Level,AQI Level,Previous AQI,AQI
351,77,62,5.5,29.71,0.00,75,66,7.5,63,63,5,1.2,27,199,3,3,136,141
352,75,71,10,29.685,0.20,77,62,5.5,81,102,3,1,28,205,3,2,141,98
353,80,65,6.5,29.575,0.00,75,71,10,45,58,2,0.9,28,157,2,3,98,148
354,82,55.5,6.5,29.62,0.00,80,65,6.5,81,78,3,1,34,212,3,3,148,118
355,84,51.5,6.5,29.62,0.00,82,55.5,6.5,53,79,4,1,27,179,3,2,118,97
356,81,47.5,4.5,29.68,0.00,84,51.5,6.5,39,52,3,0.7,33,156,2,4,97,157
357,80,50.5,5.5,29.65,0.00,81,47.5,4.5,27,64,7,0.9,34,222,4,2,157,100
358,84,53,5.5,29.545,0.00,80,50.5,5.5,58,91,7,1.2,51,160,2,5,100,203
359,86,52.5,6.5,29.59,0.00,84,53,5.5,56,90,4,0.9,32,277,5,4,203,185
360,82,57.5,5.5,29.59,0.02,86,52.5,6.5,54,94,4,0.7,31,250,4,3,185,126
361,81,68,9,29.545,0.00,82,57.5,5.5,82,115,5,1.2,41,188,3,4,126,163
362,86,50.5,10,29.485,0.00,81,68,9,124,89,4,1.7,35,219,4,1,163,48
363,84,41,7.5,29.515,0.00,86,50.5,10,26,47,3,0.5,35,95,1,2,48,66
364,74,56,2,29.495,0.00,84,41,7.5,9,27,4,0.3,25,119,2,3,66,103
365,79,42,8,29.905,0.00,74,56,2,18,56,2,0.5,46,163,3,4,103,186
366,83,57.5,7.5,29.68,0.00,79,42,8,33,77,6,1,34,251,4,3,186,120
367,81,61.5,5.5,29.625,0.00,83,57.5,7.5,49,62,4,1,25,181,3,3,120,110
368,80,69.5,4.5,29.53,0.02,81,61.5,5.5,44,58,3,0.9,24,170,3,3,110,122
369,86,60,5.5,29.44,0.00,80,69.5,4.5,54,69,3,0.9,24,184,3,4,122,172
370,84,59.5,11,29.575,0.12,86,60,5.5,59,84,3,0.9,30,237,4,4,172,173
371,82,63.5,5.5,29.72,0.00,84,59.5,11,71,109,4,1.2,35,238,4,4,173,169
372,76,78,5.5,29.75,0.24,82,63.5,5.5,36,57,3,1,24,234,4,2,169,70
373,80,76,4.5,29.725,0.16,76,78,5.5,51,60,3,0.9,27,50,2,3,70,111
374,78,79.5,5.5,29.825,0.00,80,76,4.5,54,65,3,0.9,23,172,3,3,111,102
375,78,69.5,3.5,29.845,0.00,78,79.5,5.5,76,52,3,1,29,82,3,1,102,50
376,73,84,4.5,29.785,0.67,78,69.5,3.5,32,40,3,0.7,22,100,1,1,50,47
377,75,82,3.5,29.725,0.08,73,84,4.5,30,47,3,0.6,35,64,1,1,47,48
378,81,77,5.5,29.665,0.04,75,82,3.5,33,38,3,0.9,33,78,1,2,48,60
379,84,70.5,3.5,29.635,0.00,81,77,5.5,43,48,3,0.9,38,107,2,3,60,110
380,85,73,4.5,29.665,0.00,84,70.5,3.5,51,59,3,0.7,23,171,3,3,110,117
381,80,85.5,13.5,29.65,0.79,85,73,4.5,59,67,4,1,29,178,3,1,117,38
382,75,94.5,6.5,29.65,1.22,80,85.5,13.5,26,36,3,0.7,28,68,1,1,38,34
383,80,84,3.5,29.665,1.06,75,94.5,6.5,18,21,3,0.7,27,63,1,3,34,109
384,84,79.5,8,29.665,0.24,80,84,3.5,82,90,3,1.4,27,116,3,2,109,92
385,86,73,6.5,29.59,0.00,84,79.5,8,68,86,5,1,34,122,2,3,92,108
386,89,66,7.5,29.64,0.00,86,73,6.5,80,82,3,1,27,168,3,3,108,130
387,86,68,10,29.725,0.00,89,66,7.5,69,79,4,0.9,21,193,3,2,130,62
388,86,70,4.5,29.68,0.01,86,68,10,44,47,3,0.9,28,105,2,2,62,100
389,82,80,9,29.535,1.54,86,70,4.5,54,56,3,1,23,159,2,1,100,31
390,84,66,5.5,29.575,0.28,82,80,9,17,28,3,0.6,18,62,1,2,31,55
391,84,58.5,5.5,29.695,0.00,84,66,5.5,10,20,3,0.5,19,105,2,2,55,95
392,84,72.5,5.5,29.77,0.00,84,58.5,5.5,11,32,3,0.5,24,154,2,2,95,93
393,85,72,4.5,29.74,0.00,84,72.5,5.5,46,65,3,1.2,24,151,2,3,93,129
394,86,70.5,4.5,29.68,0.00,85,72,4.5,55,70,3,1.2,21,191,3,3,129,145
395,88,69,3.5,29.665,0.00,86,70.5,4.5,72,90,3,1.2,28,209,3,3,145,141
396,89,67,6.5,29.67,0.00,88,69,3.5,72,87,3,1.2,28,205,3,4,141,163
